,gamma,alpha,beta,batch_size,reward_scale,episodes,steps,cleaned
0,0.9,0.001,0.001,5.0,0.1,3.0,10.0,29.74358974358975
1,0.9,0.001,0.001,5.0,0.1,3.0,10.0,42.56410256410257
2,0.9,0.001,0.001,5.0,0.1,3.0,10.0,35.8974358974359
3,0.9,0.001,0.001,5.0,1.0,3.0,10.0,37.94871794871795
4,0.9,0.001,0.001,5.0,1.0,3.0,10.0,20.51282051282051
5,0.9,0.001,0.001,5.0,1.0,3.0,10.0,25.641025641025635
6,0.9,0.001,0.001,5.0,2.0,3.0,10.0,46.15384615384615
7,0.9,0.001,0.001,5.0,2.0,3.0,10.0,33.846153846153854
8,0.9,0.001,0.001,5.0,2.0,3.0,10.0,50.76923076923077
9,0.9,0.001,0.01,5.0,0.1,3.0,10.0,47.692307692307686
10,0.9,0.001,0.01,5.0,0.1,3.0,10.0,24.615384615384613
11,0.9,0.001,0.01,5.0,0.1,3.0,10.0,8.717948717948715
12,0.9,0.001,0.01,5.0,1.0,3.0,10.0,26.66666666666667
13,0.9,0.001,0.01,5.0,1.0,3.0,10.0,49.743589743589745
14,0.9,0.001,0.01,5.0,1.0,3.0,10.0,13.84615384615384
15,0.9,0.001,0.01,5.0,2.0,3.0,10.0,48.71794871794872
16,0.9,0.001,0.01,5.0,2.0,3.0,10.0,14.358974358974365
17,0.9,0.001,0.01,5.0,2.0,3.0,10.0,43.07692307692308
18,0.9,0.01,0.001,5.0,0.1,3.0,10.0,37.43589743589744
19,0.9,0.01,0.001,5.0,0.1,3.0,10.0,9.743589743589737
20,0.9,0.01,0.001,5.0,0.1,3.0,10.0,29.74358974358975
21,0.9,0.01,0.001,5.0,1.0,3.0,10.0,22.051282051282044
22,0.9,0.01,0.001,5.0,1.0,3.0,10.0,8.717948717948715
23,0.9,0.01,0.001,5.0,1.0,3.0,10.0,62.05128205128205
24,0.9,0.01,0.001,5.0,2.0,3.0,10.0,35.8974358974359
25,0.9,0.01,0.001,5.0,2.0,3.0,10.0,45.128205128205124
26,0.9,0.01,0.001,5.0,2.0,3.0,10.0,27.179487179487182
27,0.9,0.01,0.01,5.0,0.1,3.0,10.0,51.794871794871796
28,0.9,0.01,0.01,5.0,0.1,3.0,10.0,42.56410256410257
29,0.9,0.01,0.01,5.0,0.1,3.0,10.0,8.717948717948715
30,0.9,0.01,0.01,5.0,1.0,3.0,10.0,37.43589743589744
31,0.9,0.01,0.01,5.0,1.0,3.0,10.0,26.66666666666667
32,0.9,0.01,0.01,5.0,1.0,3.0,10.0,8.717948717948715
33,0.9,0.01,0.01,5.0,2.0,3.0,10.0,21.025641025641022
34,0.9,0.01,0.01,5.0,2.0,3.0,10.0,31.282051282051285
35,0.9,0.01,0.01,5.0,2.0,3.0,10.0,20.0
36,0.95,0.001,0.001,5.0,0.1,3.0,10.0,34.871794871794876
37,0.95,0.001,0.001,5.0,0.1,3.0,10.0,29.230769230769226
38,0.95,0.001,0.001,5.0,0.1,3.0,10.0,27.179487179487182
39,0.95,0.001,0.001,5.0,1.0,3.0,10.0,21.025641025641022
40,0.95,0.001,0.001,5.0,1.0,3.0,10.0,34.358974358974365
41,0.95,0.001,0.001,5.0,1.0,3.0,10.0,40.0
42,0.95,0.001,0.001,5.0,2.0,3.0,10.0,35.38461538461539
43,0.95,0.001,0.001,5.0,2.0,3.0,10.0,36.92307692307693
44,0.95,0.001,0.001,5.0,2.0,3.0,10.0,9.743589743589737
45,0.95,0.001,0.01,5.0,0.1,3.0,10.0,23.076923076923066
46,0.95,0.001,0.01,5.0,0.1,3.0,10.0,27.179487179487182
47,0.95,0.001,0.01,5.0,0.1,3.0,10.0,31.794871794871796
48,0.95,0.001,0.01,5.0,1.0,3.0,10.0,8.717948717948715
49,0.95,0.001,0.01,5.0,1.0,3.0,10.0,27.179487179487182
50,0.95,0.001,0.01,5.0,1.0,3.0,10.0,47.179487179487175
51,0.95,0.001,0.01,5.0,2.0,3.0,10.0,27.692307692307693
52,0.95,0.001,0.01,5.0,2.0,3.0,10.0,34.871794871794876
53,0.95,0.001,0.01,5.0,2.0,3.0,10.0,37.94871794871795
54,0.95,0.01,0.001,5.0,0.1,3.0,10.0,8.717948717948715
55,0.95,0.01,0.001,5.0,0.1,3.0,10.0,8.717948717948715
56,0.95,0.01,0.001,5.0,0.1,3.0,10.0,8.717948717948715
57,0.95,0.01,0.001,5.0,1.0,3.0,10.0,33.33333333333334
58,0.95,0.01,0.001,5.0,1.0,3.0,10.0,39.48717948717949
59,0.95,0.01,0.001,5.0,1.0,3.0,10.0,8.717948717948715
60,0.95,0.01,0.001,5.0,2.0,3.0,10.0,49.743589743589745
61,0.95,0.01,0.001,5.0,2.0,3.0,10.0,50.76923076923077
62,0.95,0.01,0.001,5.0,2.0,3.0,10.0,18.461538461538467
63,0.95,0.01,0.01,5.0,0.1,3.0,10.0,8.717948717948715
64,0.95,0.01,0.01,5.0,0.1,3.0,10.0,25.641025641025635
65,0.95,0.01,0.01,5.0,0.1,3.0,10.0,32.82051282051283
66,0.95,0.01,0.01,5.0,1.0,3.0,10.0,37.94871794871795
67,0.95,0.01,0.01,5.0,1.0,3.0,10.0,42.56410256410257
68,0.95,0.01,0.01,5.0,1.0,3.0,10.0,26.66666666666667
69,0.95,0.01,0.01,5.0,2.0,3.0,10.0,8.717948717948715
70,0.95,0.01,0.01,5.0,2.0,3.0,10.0,23.076923076923066
71,0.95,0.01,0.01,5.0,2.0,3.0,10.0,40.0
72,0.99,0.001,0.001,5.0,0.1,3.0,10.0,44.61538461538461
73,0.99,0.001,0.001,5.0,0.1,3.0,10.0,8.717948717948715
74,0.99,0.001,0.001,5.0,0.1,3.0,10.0,52.30769230769231
75,0.99,0.001,0.001,5.0,1.0,3.0,10.0,8.717948717948715
76,0.99,0.001,0.001,5.0,1.0,3.0,10.0,8.717948717948715
77,0.99,0.001,0.001,5.0,1.0,3.0,10.0,47.179487179487175
78,0.99,0.001,0.001,5.0,2.0,3.0,10.0,38.97435897435897
79,0.99,0.001,0.001,5.0,2.0,3.0,10.0,52.820512820512825
80,0.99,0.001,0.001,5.0,2.0,3.0,10.0,8.717948717948715
81,0.99,0.001,0.01,5.0,0.1,3.0,10.0,52.820512820512825
82,0.99,0.001,0.01,5.0,0.1,3.0,10.0,46.15384615384615
83,0.99,0.001,0.01,5.0,0.1,3.0,10.0,8.717948717948715
84,0.99,0.001,0.01,5.0,1.0,3.0,10.0,43.07692307692308
85,0.99,0.001,0.01,5.0,1.0,3.0,10.0,20.0
86,0.99,0.001,0.01,5.0,1.0,3.0,10.0,33.33333333333334
87,0.99,0.001,0.01,5.0,2.0,3.0,10.0,12.820512820512818
88,0.99,0.001,0.01,5.0,2.0,3.0,10.0,9.743589743589737
89,0.99,0.001,0.01,5.0,2.0,3.0,10.0,32.82051282051283
90,0.99,0.01,0.001,5.0,0.1,3.0,10.0,39.48717948717949
91,0.99,0.01,0.001,5.0,0.1,3.0,10.0,8.717948717948715
92,0.99,0.01,0.001,5.0,0.1,3.0,10.0,31.794871794871796
93,0.99,0.01,0.001,5.0,1.0,3.0,10.0,12.820512820512818
94,0.99,0.01,0.001,5.0,1.0,3.0,10.0,29.230769230769226
95,0.99,0.01,0.001,5.0,1.0,3.0,10.0,32.82051282051283
96,0.99,0.01,0.001,5.0,2.0,3.0,10.0,43.58974358974359
97,0.99,0.01,0.001,5.0,2.0,3.0,10.0,46.666666666666664
98,0.99,0.01,0.001,5.0,2.0,3.0,10.0,35.8974358974359
99,0.99,0.01,0.01,5.0,0.1,3.0,10.0,42.051282051282044
100,0.99,0.01,0.01,5.0,0.1,3.0,10.0,42.56410256410257
101,0.99,0.01,0.01,5.0,0.1,3.0,10.0,49.23076923076923
102,0.99,0.01,0.01,5.0,1.0,3.0,10.0,34.871794871794876
103,0.99,0.01,0.01,5.0,1.0,3.0,10.0,8.717948717948715
104,0.99,0.01,0.01,5.0,1.0,3.0,10.0,18.974358974358978
105,0.99,0.01,0.01,5.0,2.0,3.0,10.0,8.717948717948715
106,0.99,0.01,0.01,5.0,2.0,3.0,10.0,19.48717948717949
107,0.99,0.01,0.01,5.0,2.0,3.0,10.0,8.717948717948715
